username#discrim,current streak,max streak
Zirkqron#8333,0,1
imabirdhehehehe#1971,0,2
Jerry-atric#3996,0,2
Pandion#8976,1,7
your.casual.nerd#3884,1,28
sunflower#0159,1,1
Xotic_PW#9813,0,5
jhu123#5280,0,1
Ness#2054,0,0
alex.#0005,0,2
Kevin Li#3208,0,0
VapoR#0807,0,0
Deleted User c38745a7#7481,0,0
ThEO#8766,3,50
MrC#6853,0,0
greater roadrunner#6226,1,38
vinodrk#1538,0,1
PeachTree#4376,0,0
BRUHisbackbois#4570,0,0
Ben Dover#7380,0,0
bench_hoe#5419,0,3
MagicGator11#0701,0,0
fatbear15#0427,0,0
hboy#7382,1,2
Borglo#0289,0,0
jes.s#5988,0,0
elise#5107,10,26
Anna_D#3875,3,173
Felis catus#0115,2,2
I N F I N I T Y#1530,0,0
Rosemary#7911,0,0
NavtheG#2208,2,2
ezraft#6769,0,0
Eddles#7935,0,0
jackie.jc.c#3237,0,0
Blesson#8686,2,49
VENOM#4690,2,2
Dribyflyby1#1467,1,7
Ash K#6823,0,3
Emma Jiang#8246,0,10
perrynotplatypus#6798,1,1
isaackim#3661,2,2
EliteNubster#7512,0,0
Michael Bolton#6716,1,5
Burrito93#7684,1,3
narts#8097,2,16
Bubinga#2563,0,5
moxhi#8856,0,1
Deleted User 1e4a7dee#2307,1,1
purple evil bird#2302,1,24
sparrowcult#2358,2,101
Starrrr#7230,0,1
Don't Read This#8838,3,21
christina#6133,9,13
orfrigatebird#4983,0,36
jojo#5606,0,0
Mardi42#1833,2,17
lowskilledimmigrant#0764,1,11
lureen#9960,0,0
Ishita#6428,0,0
Potterhead#2695,0,0
eric chen#4435,0,0
birdwoman#1675,0,0
LaBurrito#9131,0,10
goggydoggo#0154,0,0
Common Birb#6822,7,7
fishyishyfishy#5308,0,0
hello.db#9564,0,0
miabrashear#2057,0,0
Nicolee#4536,1,1
galactic#3154,0,0
joosh#3041,1,1
ryo#2405,0,2
caitlyn#6245,0,1
noahjb#1247,4,22
mushybrainsauce#0664,0,1
Daniel Guo#3043,0,2
riti#0058,9,9
"A non-existent being, Jezzaka#9786",0,0
jedbear#2265,3,3
Butterknife •_•#6394,1,1
Raymondq#0001,0,1
ann •~•#9704,16,35
Deleted User 3317b7ec#6507,33,33
Oompa#4286,0,5
melody#8625,1,4
sdd2021#4113,0,3
Phaeny#6968,0,0
Chocochipcookies#0007,0,0
Fyssion#5985,0,0
Genocilium#4618,0,1
♡ 𝕊𝕥𝕒𝕪𝕤𝕥𝕙𝕖𝕥𝕚𝕔 ♡#7118,1,9
owlking299#7453,0,3
florian!#5522,0,2
Naresh Sathya#7171,2,25
jansen#1545,0,0
mling23#2828,0,0
amber#9152,11,15
kolten#4157,1,1
axolotl#5248,1,5
irinaolisha#5197,2,38
DA BOSS#8663,1,1
senpaikazuu#2956,0,0
xCqlibur#6722,0,0
Astro#5917,0,0
losedudes#6071,0,0
mn27#6957,0,38
BlueMoon#0596,0,0
aqua dolphin#2892,10,57
Puffins_on_skis#5301,0,1
theninja583#8062,0,0
scary frogeeee#8416,0,0
thatsomaligirl#9464,5,5
couch potato#2330,0,0
Darkcasterr#9945,1,2
SociallyAwkwardChild#3981,0,15
BOT-O-TRON#3574,3,5
𝓫.#1023,0,2
Birby_boy#2202,0,0
Deleted User 951038dc#8942,0,0
ella5102#4982,0,12
cock demon#0287,0,0
soapie#4379,0,2
bluey#1282,0,1
IVaultBoy T.S.R#8228,7,15
! Studying#9800,0,0
mochi-concerto84#8158,0,0
taoaoao#2761,0,1
BorbPie#1998,5,24
tootiemcpootie#1344,0,0
catherinebyrne#5309,0,4
MainTortoise213#2214,0,0
dedangi#1658,0,1
Dre#8254,3,4
mcchickenandy#8863,0,0
SkidgeEvanescent#6276,0,2
Ο1#0001,0,0
AndrewVD#2583,0,47
Nastics#4918,1,15
lj#2026,0,0
cinnamon#1044,0,0
Mozt2k3#8641,1,1
Aleewdolphins#9462,0,1
Spam Stressed#0221,0,2
Plainstar#7003,0,5
childreninmycloset#0802,1,2
UmiShark#7520,0,5
E.#2011,3,113
obama#6880,0,0
OrganFailure#5830,0,0
DanZ137#6479,0,0
Deleted User d7d1d30a#6077,0,0
aLex#9175,0,29
peachii.kyo#9987,0,0
Kiwi_theqt#9661,2,9
Deleted User 88e93be9#9991,0,95
akaashi lovebot.#4588,0,0
warheen#0380,0,0
hawk#7686,2,19
themi#6348,1,16
obsequiousLemur#5753,1,281
Bertie#8570,0,2
curlyhairedasian#4938,0,0
GoldHawk6#1552,0,11
Joshuathefrijole#9103,0,5
Ferris L#9972,2,10
myllkti#7132,0,2
Bacon#6576,2,15
PMP#5728,0,0
LarryMonke#0403,0,0
thermos 🌡#7795,0,1
snitch#6476,1,6
JW#6121,0,66
Eshaam Bhattad#3004,0,0
˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞#6794,0,0
leoy#1614,0,0
alva#1548,0,0
📼🦖🦅DinoBirdy🦅🦖📼#7045,17,20
rohan#5754,1,2
Dragosol#1591,0,0
aelin#3189,3,30
AstroDoc#9339,0,0
rinabuns#0546,0,0
Abhi#1382,0,0
Malak#1022,0,0
Hawkineyed#8404,0,2
aLEXis#1514,0,3
tiff#6022,1,1
efuu#5481,1,6
mindy#0359,1,1
bean(h)#7798,0,0
Hedge#7033,1,39
karatechop#6891,1,6
nikpik#3584,3,124
Shoelace#2426,2,32
Starlack#4456,1,6
shober client#6781,0,1
tai yang#0001,0,0
meg#9189,0,0
MEep.#6172,1,3
Nrod22#8438,0,0
SciolyKid36#5780,0,0
Comander_D#0165,0,0
Depression#8215,1,1
Holy gosh MAPLE syrup#6334,1,1
darkdreamer#5264,0,0
weed is 4 cats#0236,8,121
RobertYL#9626,3,7
Whalet#9403,0,6
TUSLOS17704#0400,0,0
saum#2608,36,36
GoldenDoge#8348,0,0
Assasin#0940,0,0
sidstar#3164,1,15
Raymond#4231,1,69
fignewstons#1745,0,3
kdust#8919,0,0
yaj.#5051,0,0
Mustang#4128,2,15
Alex Xu#9336,1,3
Snugrot#3282,4,4
wither#9819,0,0
postyeet#2758,1,5
atropos#1789,0,0
yuking#1477,1,19
shark pog#3798,1,7
avery#6333,1,24
TheUltimateMeme#4095,0,0
cl!mb2022#3927,0,3
akylx#7683,1,45
Aaronk-47#2884,14,44
vehicleguy#5630,0,68
-_-#6827,1,1
Kareeshini😎#9827,0,0
The United States Air Force#7904,0,0
Baby Taiyo#4111,1,2
WaterNinja101#2093,0,1
𝒞𝑒𝓁𝑒𝓇𝒾𝑒𝓅𝑒𝓇𝓈𝑜𝓃#9433,2,5
Christopherfox7#1884,0,0
Kelp Sandwich#3928,0,0
fonb#1212,0,0
VC#3464,0,0
Junha is average#5331,3,3
LazyPotato#7328,0,0
Esfan#1448,0,0
chrisaju#1508,0,0
brinnee#1845,1,20
emily#2868,5,10
Avmystic#9036,1,1
nora#4726,2,12
Booper#1738,0,0
crunchysoup#0831,1,85
clammy#2247,0,37
grvmpy#4894,0,6
Chris Ge#6364,3,3
__cg#0845,6,22
B3ugaz#8518,2,12
TheEpicBebster#7464,0,0
FortniteDude70#9998,0,1
Deleted User 5a440302#6296,2,19
em x#2161,0,2
invasivebird#4060,0,5
Shi Hoon#7201,14,39
