Cape Verde Shearwater,CVSH
Carolina Chickadee,CACH
Carolina Parakeet,CAPA
Carolina Wren,CBWR
Caspian Tern,CATE
Cassia Crossbill,RECR
Cassin's Auklet,CAAU
Cassin's Finch,CAFI
Cassin's Kingbird,CAKI
Cassin's Sparrow,CASP
Cassin's Vireo,CAVI
Cattle Egret,WCEG
Cave Swallow,CASW
Cedar Waxwing,CEWA
Cerulean Warbler,CEWA
Chatham Albatross,CHMO
Chestnut Munia,CHMU
Chestnut-backed Chickadee,CBCH
Chestnut-bellied Sandgrouse,CBSA
Chestnut-collared Longspur,CCLO
Chestnut-sided Warbler,CSWA
Chihuahuan Meadowlark,EAME
Chihuahuan Raven,CHRA
Chimney Swift,CHSW
Chinese Egret,CHEG
Chinese Hwamei,CHHW
Chinese Pond-Heron,CPHE
Chinese Sparrowhawk,CHSP
Chipping Sparrow,CHSP
Christmas Shearwater,CHSH
Chuck-will's-widow,CHWW
Chukar,CHPA
Cinnamon Hummingbird,CIHU
Cinnamon Teal,CITE
Citrine Wagtail,CIWA
Clapper Rail,CLRA
Clark's Grebe,CLGR
Clark's Nutcracker,CLNU
Clay-colored Sparrow,CCSP
Clay-colored Thrush,CCTH
Cliff Swallow,ACSW
Colima Warbler,COWA
Collared Forest-Falcon,CFFA
Collared Plover,COPL
Common Black Hawk,CBHA
Common Chaffinch,CHAF
Common Chiffchaff,COCH
Common Crane,COCR
Common Cuckoo,COCU
Common Eider,COEI
Common Gallinule,AMMO
Common Goldeneye,COGO
Common Grackle,COGR
Common Greenshank,COGR
Common Ground Dove,COGD
Common Gull,MEGU
Common House-Martin,NHMA
Common Loon,GNDI
Common Merganser,GOOS
Common Murre,COGU
Common Myna,COMY
Common Nighthawk,CONI
Common Pauraque,PAUR
Common Pochard,COPO
Common Poorwill,COPO
Common Raven,NORA
Common Redpoll,REDP
Common Redshank,CORE
Common Redstart,CORE
Common Ringed Plover,RIPL
Common Rosefinch,CORO
Common Sandpiper,COSA
Common Scoter,COSC
Common Shelduck,COSH
Common Snipe,COSN
Common Swift,COSW
Common Tern,COTE
Common Waxbill,COWA
Common Wood-Pigeon,COWP
Common Yellowthroat,COYE
Connecticut Warbler,COWA
Cook's Petrel,COPE
Cooper's Hawk,COHA
Cordilleran Flycatcher,COFL
Corn Crake,COCR
Cory's Shearwater,COSH
Costa's Hummingbird,COHU
Couch's Kingbird,COKI
Crane Hawk,CRHA
Craveri's Murrelet,CRMU
Crescent-chested Warbler,CCWA
Crested Auklet,CRAU
Crested Caracara,CRCA
Crimson-collared Grosbeak,CCGR
Crissal Thrasher,CRTH
Crowned Slaty Flycatcher,CSFL
Cuban Martin,CUMA
Cuban Pewee,CUPE
Cuban Vireo,CUVI
Curlew Sandpiper,CUSA
Curve-billed Thrasher,CBTH
Dark-billed Cuckoo,DBCU
Dark-eyed Junco,DEJU
Dark-sided Flycatcher,DSFL
Dickcissel,DICK
Double-crested Cormorant,DCCO
Double-striped Thick-knee,DSTK
Double-toothed Kite,DTKI
Dovekie,LIAU
Downy Woodpecker,DOWO
Dunlin,DUNL
Dusky Flycatcher,ADFL
Dusky Grouse,DUGR
Dusky Thrush,DUTH
Dusky Warbler,DUWA
Dusky-capped Flycatcher,DCFL
Eared Grebe,BNGR
Eared Quetzal,EAQU
Eastern Bluebird,EABL
Eastern Kingbird,EAKI
Eastern Meadowlark,EAME
Eastern Phoebe,EAPH
Eastern Screech-Owl,ESOW
Eastern Spot-billed Duck,CSBD
Eastern Towhee,EATO
Eastern Whip-poor-will,EWPW
Eastern Wood-Pewee,EWPE
Eastern Yellow Wagtail,EYWA
Egyptian Goose,EGGO
Elegant Tern,ELTE
Elegant Trogon,ETTR
Elf Owl,ELOW
Emperor Goose,EMGO
Erckel's Spurfowl,ERSP
Eskimo Curlew,ESCU
Eurasian Blackbird,COBL
Eurasian Bullfinch,EUBU
Eurasian Collared-Dove,CODO
Eurasian Coot,COCO
Eurasian Curlew,EUCU
Eurasian Dotterel,EUDO
Eurasian Hobby,EUHO
Eurasian Hoopoe,COHO
Eurasian Jackdaw,WEJA
Eurasian Kestrel,COKE
Eurasian Oystercatcher,EUOY
Eurasian Siskin,EUSI
Eurasian Skylark,SKYL
Eurasian Tree Sparrow,ETSP
Eurasian Wigeon,EUWI
Eurasian Woodcock,EUWO
Eurasian Wryneck,EUWR
European Golden-Plover,EGPL
European Robin,EURO
European Starling,COST
European Storm-Petrel,ESPE
European Turtle-Dove,ETDO
Evening Grosbeak,EVGR
Eyebrowed Thrush,EYTH
Falcated Duck,FADU
Fan-tailed Warbler,MFTW
Far Eastern Curlew,EACU
Fea's Petrel,CVPE
Ferruginous Hawk,FEHA
Ferruginous Pygmy-Owl,FPOW
Field Sparrow,FISP
Fieldfare,FIEL
Fish Crow,FICR
Five-striped Sparrow,FSSP
Flame-colored Tanager,FCTA
Flammulated Owl,FLOW
Flesh-footed Shearwater,FFSH
Florida Scrub-Jay,FSJA
Fork-tailed Flycatcher,FTFL
Fork-tailed Storm-Petrel,FTSP
Forster's Tern,FOTE
Fox Sparrow,FSSP
Franklin's Gull,FRGU
Fulvous Whistling-Duck,FWDU
Gadwall,GADW
Gambel's Quail,GAQU
Garganey,GARG
Gila Woodpecker,GIWO
Gilded Flicker,GIFL
Glaucous Gull,GLGU
Glaucous-winged Gull,GWGU
Glossy Ibis,GLIB
Golden Eagle,GOEA
Golden-cheeked Warbler,GCWA
Golden-crowned Kinglet,GCKI
Golden-crowned Sparrow,GCSP
Golden-crowned Warbler,GCWS
Golden-fronted Woodpecker,GFWO
Golden-winged Warbler,GWWA
Grace's Warbler,GRWA
Grasshopper Sparrow,GRSP
Gray Bunting,GRBU
Gray Catbird,GRCA
Gray Flycatcher,AGFL
Gray Francolin,GRFR
Gray Hawk,GRHA
Gray Heron,GRHE
Gray Kingbird,GRKI
Gray Nightjar,GRNI
Gray Partridge,GRPA
Gray Silky-flycatcher,GSFL
Gray Vireo,GRVI
Gray Wagtail,GRWA
Gray-backed Tern,SPTE
Gray-breasted Martin,GBMA
Gray-cheeked Thrush,GCTH
Gray-collared Becard,EGCB
Gray-crowned Rosy-Finch,GCRF
Gray-crowned Yellowthroat,GCYE
Gray-faced Petrel,GFPE
Gray-headed Chickadee,SITI
Gray-headed Swamphen,PUSW
Gray-hooded Gull,GHGU
Gray-streaked Flycatcher,GSFL
Gray-tailed Tattler,GTTA
Graylag Goose,GRGO
Great Auk,GRAU
Great Black Hawk,GBHA
Great Black-backed Gull,GBBG
Great Blue Heron,GBWH
Great Cormorant,BLSH
Great Crested Flycatcher,GCFL
Great Crested Tern,SWTE
Great Egret,WHHE
Great Frigatebird,GRFR
Great Gray Owl,GGOW
Great Horned Owl,GHOW
Great Kiskadee,GRKI
Great Knot,GRKN
Great Shearwater,GRSH
Great Skua,GRSK
Great Spotted Woodpecker,GSWO
Great-tailed Grackle,GTGR
Greater Amakihi,GRAM
Greater Koa-Finch,GKFI
Greater Necklaced Laughingthrush,GNLA
Greater Pewee,GRPE
Greater Prairie-Chicken,GPCH
Greater Roadrunner,GRRO
Greater Sage-Grouse,GSGR
Greater Sand-Plover,GRSA
Greater Scaup,GRSC
Greater White-fronted Goose,GWFG
Greater Yellowlegs,GRYE
Green Heron,GBHE
Green Jay,GRJA
Green Kingfisher,GRKI
Green Parakeet,GRPA
Green Sandpiper,GRSA
Green-breasted Mango,GBTM
Green-tailed Towhee,GTTO
Green-winged Teal,EUTE
Greenish Elaenia,GREL
Groove-billed Ani,GBAN
Guadalupe Murrelet,GUMU
Gull-billed Tern,ABTE
Gunnison Sage-Grouse,GUGR
Gyrfalcon,GYFA
Hairy Woodpecker,HAWO
Hammond's Flycatcher,HAFL
Harlequin Duck,HADU
Harris's Hawk,HAHA
Harris's Sparrow,HASP
Hawaii Akepa,HAAK
Hawaii Amakihi,HAAM
Hawaii Creeper,HACR
Hawaii Elepaio,HAEL
Hawaii Mamo,HAMA
Hawaii Oo,HAOO
Hawaiian Coot,HACO
Hawaiian Crow,HACR
Hawaiian Duck,HADU
Hawaiian Goose,NENE
Hawaiian Hawk,HAHA
Hawaiian Petrel,HAPE
Hawaiian Rail,HARA
Hawfinch,HAWF
Heermann's Gull,HEGU
Henslow's Sparrow,HESP
Hepatic Tanager,RETA
Herald Petrel,HEPE
Hermit Thrush,HETH
Hermit Warbler,HEWA
Herring Gull,AHHG
Himalayan Snowcock,HISN
Hoary Redpoll,REDP
Hooded Crane,HOCR
Hooded Merganser,HOME
Hooded Oriole,HOOR
Hooded Warbler,HOWA
Hook-billed Kite,HBKI
Horned Grebe,SLGR
Horned Lark,SHLA
Horned Puffin,HOPU
House Finch,HOFI
House Sparrow,HOSP
House Wren,HOWR
Hudsonian Godwit,HUGO
Hutton's Vireo,HUVI
Iceland Gull,ICGU
Iiwi,IIWI
Inca Dove,INDO
Inca Tern,INTE
Indian Peafowl,INPE
Indigo Bunting,INBU
Intermediate Egret,IBEG
Island Canary,ATCA
Island Scrub-Jay,WSJA
Ivory Gull,IVGU
Ivory-billed Woodpecker,IBWO
Jabiru,JABI
Jack Snipe,JASN
Japanese Bush Warbler,JBWA
Java Sparrow,JASP
Jouanin's Petrel,JOPE
Juan Fernandez Petrel,JFPE
Juniper Titmouse,JUTI
Kakawahie,KAKA
Kalij Pheasant,KAPH
Kamao,KAMA
Kamchatka Leaf Warbler,KALW
Kauai Akialoa,KAAK
Kauai Amakihi,KAAM
Kauai Elepaio,KAEL
Kauai Nukupuu,KANU
Kauai Oo,KAOO
Kelp Gull,SBBG
Kentucky Warbler,KEWA
Kermadec Petrel,KEPE
Key West Quail-Dove,KWQD
Killdeer,KILL
King Eider,KIEI
King Rail,KIRA
Kioea,KIOE
Kirtland's Warbler,KIWA
Kittlitz's Murrelet,KIMU
Kona Grosbeak,KOGR
La Sagra's Flycatcher,LSFL
Labrador Duck,LADU
Ladder-backed Woodpecker,LBWO
Lanai Hookbill,LAHO
Lanceolated Warbler,LAWA
Lapland Longspur,LABU
Large-billed Tern,LBTE
Lark Bunting,LABU
Lark Sparrow,LASP
Laughing Gull,LAGU
Lawrence's Goldfinch,LAGO
Laysan Albatross,LAAL
Laysan Duck,LADU
Laysan Finch,LAFI
Laysan Honeycreeper,LAHO
Laysan Rail,LARA
Lazuli Bunting,LABU
LeConte's Sparrow,LESP
LeConte's Thrasher,LETH
Leach's Storm-Petrel,LSPE
Least Auklet,LEAU
Least Bittern,LEBI
Least Flycatcher,LEFL
Least Grebe,LEGR
Least Sandpiper,LESA
Least Storm-Petrel,LESP
Least Tern,LETE
Lesser Akialoa,HAAK
Lesser Black-backed Gull,LBBG
Lesser Frigatebird,LEFR
Lesser Goldfinch,LEGO
Lesser Koa-Finch,LKFI
Lesser Nighthawk,LENI
Lesser Prairie-Chicken,LPCH
Lesser Sand-Plover,LSPL
Lesser Scaup,LESC
Lesser White-fronted Goose,LWFG
Lesser Whitethroat,LEWH
Lesser Yellowlegs,LEYE
Lewis's Woodpecker,LEWO
Light-mantled Albatross,LMSA
Lilac-crowned Parrot,LCAM
Limpkin,LIMP
Lincoln's Sparrow,LISP
Little Blue Heron,LBHE
Little Bunting,LIBU
Little Curlew,LIWH
Little Egret,LEWR
Little Gull,LIGU
Little Ringed Plover,LRPL
Little Stint,LIST
Little Tern,LITE
Loggerhead Kingbird,LOKI
Loggerhead Shrike,LOSH
Long-billed Curlew,LBCU
Long-billed Dowitcher,LBDO
Long-billed Murrelet,LBMU
Long-billed Thrasher,LBTH
Long-eared Owl,NLEO
Long-legged Buzzard,LLBU
Long-tailed Duck,LTDU
Long-tailed Jaeger,LTSK
Long-toed Stint,LTST
Louisiana Waterthrush,LOWA
Lucifer Hummingbird,LUSH
Lucy's Warbler,LUWA
MacGillivray's Warbler,MAWA
Magnificent Frigatebird,MAFR
Magnolia Warbler,MAWA
Mallard,MALL
Mangrove Cuckoo,MACU
Mangrove Swallow,MASW
Manx Shearwater,MASH
Marbled Godwit,MAGO
Marbled Murrelet,MAMU
Mariana Swiftlet,MASW
Marsh Sandpiper,MASA
Marsh Wren,MAWR
Masked Booby,MABO
Masked Duck,MADU
Masked Tityra,MATI
Maui Akepa,MAAK
Maui Alauahio,MAAL
Maui Nukupuu,MANU
Maui Parrotbill,MAPA
Maui-nui Akialoa,LAAK
McKay's Bunting,MCBU
Merlin,MERL
Mexican Chickadee,MECH
Mexican Duck,MODU
Mexican Jay,MEJA
Mexican Violetear,GVEA
Mexican Whip-poor-will,MWPW
Middendorff's Grasshopper Warbler,MGWA
Millerbird,MILL
Mississippi Kite,MIKI
Mistle Thrush,MITH
Mitred Parakeet,MIPA
Monk Parakeet,MOPA
Montezuma Quail,MBQU
Morelet's Seedeater,WCSE
Mottled Duck,MODU
Mottled Owl,MOOW
Mottled Petrel,MOPE
Mountain Bluebird,MOBL
Mountain Chickadee,MOCH
Mountain Plover,MOPL
Mountain Quail,MOQU
Mourning Dove,MODO
Mourning Warbler,MOWA
Mugimaki Flycatcher,MUFL
Murphy's Petrel,MUPE
Muscovy Duck,MUDU
Mute Swan,MUSW
Nanday Parakeet,NAPA
Narcissus Flycatcher,NAFL
Nashville Warbler,NAWA
Naumann's Thrush,NATH
Nazca Booby,NABO
Nelson's Sparrow,NESP
Neotropic Cormorant,NECO
Newell's Shearwater,NESH
Nihoa Finch,NIFI
Northern Beardless-Tyrannulet,NBTY
Northern Bobwhite,NOBO
Northern Boobook,NOBO
Northern Cardinal,NOCA
Northern Flicker,YSSF
Northern Fulmar,NOFU
Northern Gannet,NOGA
Northern Giant-Petrel,NGPE
Northern Goshawk,NOGO
Northern Harrier,NOHA
Northern Hawk Owl,NOHO
Northern Jacana,NOJA
Northern Lapwing,NOLA
Northern Mockingbird,NOMO
Northern Parula,NOPA
Northern Pintail,NOPI
Northern Pygmy-Owl,NPOW
Northern Rough-winged Swallow,NRWS
Northern Saw-whet Owl,NSWO
Northern Shoveler,NOSH
Northern Shrike,NOSH
Northern Waterthrush,NOWA
Northern Wheatear,NTWH
Nuttall's Woodpecker,NUWO
Nutting's Flycatcher,NUFL
Oahu Akepa,OAAK
Oahu Akialoa,OAAK
Oahu Alauahio,OAAL
Oahu Amakihi,OAAM
Oahu Elepaio,OAEL
Oahu Nukupuu,OANU
Oahu Oo,OAOO
Oak Titmouse,OATI
Olive Sparrow,OLSP
Olive Warbler,OLWA
Olive-backed Pipit,OBPI
Olive-sided Flycatcher,OSFL
Olomao,OLOM
Omao,OMAO
Orange-billed Nightingale-Thrush,OBNT
Orange-crowned Warbler,OCWA
Orchard Oriole,OROR
Oriental Cuckoo,ORCU
Oriental Greenfinch,GCGR
Oriental Pratincole,ORPR
